epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,D,0.139006,0.111475,0.642948,0.856149,0.615056,0.577854
1,0,D,0.107561,0.109667,0.735644,0.868170,0.706620,0.706519
2,0,D,0.096192,0.121701,0.718306,0.882024,0.709009,0.669798
3,0,D,0.086909,0.121813,0.795171,0.885138,0.780904,0.791773
4,0,D,0.079644,0.126832,0.668901,0.871510,0.678764,0.602619
5,0,D,0.073099,0.147406,0.670132,0.872272,0.652086,0.606035
6,0,D,0.067347,0.132850,0.784832,0.882493,0.755779,0.767862
7,0,D,0.063058,0.146587,0.763486,0.873879,0.705267,0.737404
8,0,D,0.046624,0.163170,0.727970,0.862070,0.711758,0.682607
0,1,D,0.138100,0.107556,0.737926,0.857093,0.667522,0.718617
1,1,D,0.109472,0.111601,0.767674,0.878993,0.732638,0.747509
2,1,D,0.095970,0.101641,0.742343,0.867795,0.672589,0.718332
3,1,D,0.088687,0.127911,0.741142,0.883867,0.701153,0.710788
4,1,D,0.081211,0.118964,0.688966,0.848351,0.674628,0.639197
5,1,D,0.074021,0.160538,0.737909,0.884583,0.703653,0.692001
6,1,D,0.054284,0.140809,0.732386,0.881080,0.716940,0.685454
0,2,D,0.139632,0.119762,0.675724,0.849793,0.618752,0.623114
1,2,D,0.109528,0.105818,0.608405,0.867448,0.656545,0.528466
2,2,D,0.095565,0.121449,0.728130,0.873526,0.698528,0.683604
3,2,D,0.086696,0.111520,0.702112,0.867837,0.680938,0.654284
4,2,D,0.076374,0.126220,0.728641,0.874151,0.698401,0.686593
5,2,D,0.073674,0.119007,0.769768,0.876477,0.713794,0.753060
6,2,D,0.066210,0.134288,0.658047,0.873832,0.663797,0.587674
7,2,D,0.062977,0.199533,0.751060,0.872293,0.698355,0.721321
8,2,D,0.062122,0.155239,0.723439,0.870757,0.700346,0.675776
9,2,D,0.056417,0.163359,0.567611,0.869788,0.583372,0.492030
10,2,D,0.040735,0.185618,0.671710,0.872358,0.653640,0.607743
0,3,D,0.139272,0.119304,0.773278,0.863554,0.744076,0.767511
1,3,D,0.109480,0.112414,0.664908,0.878624,0.686878,0.597950
2,3,D,0.096810,0.121152,0.771257,0.884010,0.752716,0.745587
3,3,D,0.087257,0.127005,0.684321,0.877132,0.670476,0.624431
4,3,D,0.078590,0.116772,0.648735,0.871875,0.692440,0.574744
